PCDate,PCTime,MEActFOCons,MESFOC_nmile,MERpm,MEShaftPow,ShipSpdToWater,SpdStd,ShipHeel,ShipTrim,ShipDraft,ShipSlip,WindSpd,Latitude,Longitude,Uwind,Vwind,AirTemperature,WindGust,WaveDirection,WavePeriod,SWTemperture,SwellHeight,WaveHeight
2020-08-23,21:26:20,938.3885498,57.92522049,77,5290,16.2,0.3130495168499698,-0.07,3.79,6.205,-5.86935091,19.8,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:26:30,914.8306885,56.63832855,77,5195,16.2,0.2720294101747083,0.37,3.31,6.225,-5.86935091,19.7,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:26:41,945.9946289,58.03592682,77,5323,16.2,0.2236067977499786,-0.16,3.72,6.28,-5.86935091,19.5,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:26:53,951.0697021,58.7579422,77,5259,16.2,0.1999999999999993,-0.44,4.07,6.015,-5.86935091,20.0,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:27:03,915.6887207,56.52399445,78,5235,16.2,0.1999999999999993,-0.32,3.46,6.09,-4.512051582,19.8,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:27:13,909.1217041,56.10903168,77,4975,16.2,0.1999999999999993,-0.05,3.18,6.46,-5.86935091,19.9,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:27:25,917.6536865,56.6861763,77,5170,16.2,0.1999999999999993,-0.38,4.38,5.92,-5.86935091,19.4,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:27:35,928.1291504,57.28562164,77,5184,16.2,0.1999999999999993,-0.59,3.4,6.15,-5.86935091,19.2,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:27:45,917.5325928,56.53129578,77,5248,16.2,0.1999999999999993,-0.22,3.38,6.35,-5.86935091,19.7,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:27:56,920.3796387,56.80685806,77,5109,16.2,0.1999999999999993,-0.11,3.7,6.17,-5.86935091,20.5,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:28:08,961.7391357,59.49380875,77,5454,16.2,0.1999999999999993,-0.52,3.6,6.17,-5.86935091,19.9,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:28:18,934.0137939,57.63882065,77,5306,16.2,0.1999999999999993,-0.1,3.29,6.305,-5.86935091,20.4,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:28:28,932.824585,57.61057281,77,5187,16.2,0.1999999999999993,-0.43,4.34,5.95,-5.86935091,20.2,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:28:40,931.0015869,57.82618713,77,5341,16.1,0.1843908891458572,-0.21,3.65,6.155,-5.215836048,20.0,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:28:50,914.2329102,56.09477615,77,5026,16.3,0.2097617696340302,-0.24,3.35,6.225,-6.522865295,19.8,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:29:00,895.6424561,54.94739151,77,5041,16.3,0.2323790007724452,0.21,3.61,6.165,-6.522865295,19.6,31.32,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:29:12,916.6650391,55.82297897,77,5156,16.4,0.2792848008753787,-0.17,3.77,6.125,-7.176379681,20.3,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:29:23,898.5881348,54.96236801,77,4997,16.4,0.3193743884534258,-0.33,3.41,6.205,-7.176379681,20.0,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:29:33,858.3023682,52.28470993,77,4796,16.4,0.3633180424916983,-0.41,3.63,6.175,-7.176379681,19.1,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:29:45,920.9384766,55.97284698,77,5192,16.4,0.3820994634908549,-0.56,3.62,6.18,-7.176379681,19.9,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:29:55,894.0366211,55.55519867,77,5004,16.1,0.3605551275463977,-0.27,3.39,6.265,-5.215836048,19.5,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:30:05,899.9680176,55.89055252,77,4988,16.1,0.316227766016837,-0.25,3.82,6.17,-5.215836048,19.3,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:30:15,916.0924072,56.88230896,77,5107,16.1,0.2645751311064585,-0.25,3.21,6.265,-5.215836048,19.5,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:30:27,959.7834473,59.55844498,77,5378,16.1,0.2,-0.31,3.64,6.25,-5.215836048,19.2,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:30:37,948.8865967,58.9370575,78,5400,16.1,0.1000000000000014,-0.34,3.45,6.155,-3.866915226,19.5,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:30:48,850.9406128,52.87022018,77,4848,16.1,0.1000000000000014,0.13,4.1,6.08,-5.215836048,19.1,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:31:00,863.3288574,53.60297012,77,4834,16.1,0.1000000000000014,-0.58,4.22,5.98,-5.215836048,19.0,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:31:10,904.1003418,56.04004669,77,5103,16.1,0.1000000000000014,-0.24,2.92,6.28,-5.215836048,19.1,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:31:20,927.7492676,57.62417984,77,5040,16.1,0.1000000000000014,-0.19,4.27,6.025,-5.215836048,19.2,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:31:32,908.5534668,57.13885498,77,5084,15.9,0.100000000000001,-0.22,3.57,6.045,-3.908807278,19.3,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:31:42,929.7513428,58.08531189,77,5139,16.0,0.0894427190999924,-0.12,3.72,6.31,-4.562321663,19.4,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:31:52,913.1378174,57.54879761,77,5115,15.9,0.089442719099992,-0.39,3.09,6.195,-3.908807278,19.2,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:32:03,921.5900879,57.9616394,77,5163,15.9,0.0894427190999916,0.35,3.51,6.375,-3.908807278,19.2,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:32:15,924.835083,57.12794113,77,5117,16.2,0.1183215956619919,-0.6,4.39,5.865,-5.86935091,19.5,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:32:25,934.5053711,57.431633,77,5418,16.2,0.141421356237309,0.15,3.0,6.47,-5.86935091,19.4,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:32:35,955.3115234,59.36264801,77,5280,16.1,0.1483239697419129,-0.5,4.15,5.845,-5.215836048,19.5,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:32:47,923.2260742,57.3239975,77,5255,16.1,0.1483239697419132,-0.25,3.11,6.435,-5.215836048,19.3,31.33,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:32:57,925.352417,57.5343399,77,5130,16.1,0.1483239697419134,-0.47,3.96,5.93,-5.215836048,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:33:07,931.1784668,58.10703278,77,5349,16.0,0.1183215956619928,-0.47,2.82,6.46,-4.562321663,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:33:19,927.2467041,57.34257507,77,5196,16.2,0.1183215956619928,-0.59,3.61,6.145,-5.86935091,19.3,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
2020-08-23,21:33:29,924.6972656,57.08804321,77,5184,16.2,0.1414213562373095,-0.41,3.17,6.255,-5.86935091,19.2,31.34,122.38,-3.922128154610336,-0.7504774033118298,301.0733761811499,5.595651123849798,165.70863680967136,4.902471564879602,301.98827674591786,0.6021399447542954,0.1299664581474857
